Date,Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Buying price,Tax 5%,Selling price,Paymentmode,Profit percentage,profit,Rating
2/12/2019,365-64-0515,Alex,Yangon,Member,Female,Electronic accessories,46.95,5,234.75,26.1415,246.4875,Ewallet,5,11.7375,7.1
2/7/2019,252-56-2699,Alex,Yangon,Member,Female,Food and beverages,43.19,10,431.9,26.1415,453.495,Ewallet,5,21.595,8.2
3/29/2019,829-34-3910,Alex,Yangon,Member,Female,Health and beauty,71.38,10,713.8,26.1415,749.49,Cash,5,35.69,5.7
1/15/2019,299-46-1805,Cairo,Mandalay,Member,Female,Sports and travel,93.72,6,562.32,26.1415,590.436,Cash,5,28.116,4.5
3/11/2019,656-95-9349,Alex,Yangon,Member,Female,Health and beauty,68.93,7,482.51,26.1415,506.6355,Credit card,5,24.1255,4.6
1/1/2019,765-26-6951,Alex,Yangon,Member,Female,Sports and travel,72.61,6,435.66,26.1415,457.443,Credit card,5,21.783,6.9
1/21/2019,329-62-1586,Alex,Yangon,Member,Female,Food and beverages,54.67,3,164.01,26.1415,172.2105,Credit card,5,8.2005,8.6
3/11/2019,319-50-3348,Cairo,Mandalay,Member,Female,Home and lifestyle,40.3,2,80.6,26.1415,84.63,Ewallet,5,4.03,4.4
2/25/2019,300-71-4605,Giza,Naypyitaw,Member,Female,Electronic accessories,86.04,5,430.2,26.1415,451.71,Ewallet,5,21.51,4.8
3/5/2019,371-85-5789,Cairo,Mandalay,Member,Female,Health and beauty,87.98,3,263.94,26.1415,277.137,Ewallet,5,13.197,5.1
3/15/2019,273-16-6619,Cairo,Mandalay,Member,Female,Home and lifestyle,33.2,2,66.4,26.1415,69.72,Credit card,5,3.32,4.4
2/17/2019,636-48-8204,Alex,Yangon,Member,Female,Electronic accessories,34.56,5,172.8,26.1415,181.44,Ewallet,5,8.64,9.9
3/2/2019,549-59-1358,Alex,Yangon,Member,Female,Sports and travel,88.63,3,265.89,26.1415,279.1845,Ewallet,5,13.2945,6
3/22/2019,227-03-5010,Alex,Yangon,Member,Female,Home and lifestyle,52.59,8,420.72,26.1415,441.756,Credit card,5,21.036,8.5
2/8/2019,649-29-6775,Cairo,Mandalay,Member,Female,Fashion accessories,33.52,1,33.52,26.1415,35.196,Cash,5,1.676,6.7
3/10/2019,189-17-4241,Alex,Yangon,Member,Female,Fashion accessories,87.67,2,175.34,26.1415,184.107,Credit card,5,8.767,7.7
1/25/2019,145-94-9061,Cairo,Mandalay,Member,Female,Food and beverages,88.36,5,441.8,26.1415,463.89,Cash,5,22.09,9.6
3/15/2019,848-62-7243,Alex,Yangon,Member,Female,Health and beauty,24.89,9,224.01,26.1415,235.2105,Cash,5,11.2005,7.4
2/25/2019,871-79-8483,Cairo,Mandalay,Member,Female,Fashion accessories,94.13,5,470.65,26.1415,494.1825,Credit card,5,23.5325,4.8
1/28/2019,149-71-6266,Cairo,Mandalay,Member,Female,Sports and travel,78.07,9,702.63,26.1415,737.7615,Cash,5,35.1315,4.5
1/10/2019,640-49-2076,Cairo,Mandalay,Member,Female,Sports and travel,83.78,8,670.24,26.1415,703.752,Cash,5,33.512,5.1
3/15/2019,595-11-5460,Alex,Yangon,Member,Female,Health and beauty,96.58,2,193.16,26.1415,202.818,Credit card,5,9.658,5.1
2/6/2019,183-56-6882,Giza,Naypyitaw,Member,Female,Food and beverages,99.42,4,397.68,26.1415,417.564,Ewallet,5,19.884,7.5
1/7/2019,232-16-2483,Giza,Naypyitaw,Member,Female,Sports and travel,68.12,1,68.12,26.1415,71.526,Ewallet,5,3.406,6.8
3/10/2019,129-29-8530,Alex,Yangon,Member,Female,Sports and travel,62.62,5,313.1,26.1415,328.755,Ewallet,5,15.655,7
1/15/2019,272-65-1806,Alex,Yangon,Member,Female,Electronic accessories,60.88,9,547.92,26.1415,575.316,Ewallet,5,27.396,4.7
3/23/2019,333-73-7901,Giza,Naypyitaw,Member,Female,Health and beauty,54.92,8,439.36,26.1415,461.328,Ewallet,5,21.968,7.6
3/3/2019,777-82-7220,Cairo,Mandalay,Member,Female,Home and lifestyle,30.12,8,240.96,26.1415,253.008,Cash,5,12.048,7.7
1/17/2019,280-35-5823,Cairo,Mandalay,Member,Female,Home and lifestyle,86.72,1,86.72,26.1415,91.056,Ewallet,5,4.336,7.9
2/2/2019,554-53-8700,Giza,Naypyitaw,Member,Female,Home and lifestyle,56.11,2,112.22,26.1415,117.831,Cash,5,5.611,6.3
2/8/2019,354-25-5821,Cairo,Mandalay,Member,Female,Sports and travel,69.12,6,414.72,26.1415,435.456,Cash,5,20.736,5.6
3/4/2019,228-96-1411,Giza,Naypyitaw,Member,Female,Food and beverages,98.7,8,789.6,26.1415,829.08,Cash,5,39.48,7.6
3/16/2019,617-15-4209,Giza,Naypyitaw,Member,Female,Health and beauty,15.37,2,30.74,26.1415,32.277,Cash,5,1.537,7.2
3/9/2019,132-32-9879,Cairo,Mandalay,Member,Female,Electronic accessories,93.96,4,375.84,26.1415,394.632,Cash,5,18.792,9.5
2/27/2019,370-41-7321,Cairo,Mandalay,Member,Female,Health and beauty,56.69,9,510.21,26.1415,535.7205,Credit card,5,25.5105,8.4
2/6/2019,727-46-3608,Cairo,Mandalay,Member,Female,Food and beverages,20.01,9,180.09,26.1415,189.0945,Ewallet,5,9.0045,4.1
2/10/2019,669-54-1719,Cairo,Mandalay,Member,Female,Electronic accessories,18.93,6,113.58,26.1415,119.259,Credit card,5,5.679,8.1
3/19/2019,574-22-5561,Giza,Naypyitaw,Member,Female,Fashion accessories,82.63,10,826.3,26.1415,867.615,Ewallet,5,41.315,7.9
2/3/2019,326-78-5178,Giza,Naypyitaw,Member,Female,Food and beverages,91.4,7,639.8,26.1415,671.79,Cash,5,31.99,9.5
2/10/2019,162-48-8011,Alex,Yangon,Member,Female,Food and beverages,44.59,5,222.95,26.1415,234.0975,Cash,5,11.1475,8.5
3/22/2019,616-24-2851,Cairo,Mandalay,Member,Female,Fashion accessories,17.87,4,71.48,26.1415,75.054,Ewallet,5,3.574,6.5
1/25/2019,778-71-5554,Giza,Naypyitaw,Member,Female,Fashion accessories,15.43,1,15.43,26.1415,16.2015,Credit card,5,0.7715,6.1
3/7/2019,242-55-6721,Cairo,Mandalay,Member,Female,Home and lifestyle,16.16,2,32.32,26.1415,33.936,Ewallet,5,1.616,6.5
2/28/2019,399-46-5918,Giza,Naypyitaw,Member,Female,Electronic accessories,85.98,8,687.84,26.1415,722.232,Cash,5,34.392,8.2
3/27/2019,106-35-6779,Alex,Yangon,Member,Female,Home and lifestyle,44.34,2,88.68,26.1415,93.114,Cash,5,4.434,5.8
2/7/2019,635-40-6220,Alex,Yangon,Member,Female,Health and beauty,89.6,8,716.8,26.1415,752.64,Ewallet,5,35.84,6.6
1/20/2019,817-48-8732,Alex,Yangon,Member,Female,Home and lifestyle,72.35,10,723.5,26.1415,759.675,Cash,5,36.175,5.4
3/12/2019,120-06-4233,Giza,Naypyitaw,Member,Female,Electronic accessories,30.61,6,183.66,26.1415,192.843,Cash,5,9.183,9.3
2/15/2019,285-68-5083,Giza,Naypyitaw,Member,Female,Sports and travel,24.74,3,74.22,26.1415,77.931,Credit card,5,3.711,10
2/24/2019,803-83-5989,Giza,Naypyitaw,Member,Female,Home and lifestyle,55.73,6,334.38,26.1415,351.099,Ewallet,5,16.719,7
2/3/2019,347-34-2234,Cairo,Mandalay,Member,Female,Sports and travel,55.07,9,495.63,26.1415,520.4115,Ewallet,5,24.7815,10
3/6/2019,199-75-8169,Alex,Yangon,Member,Female,Sports and travel,15.81,10,158.1,26.1415,166.005,Credit card,5,7.905,8.6
2/14/2019,853-23-2453,Cairo,Mandalay,Member,Female,Health and beauty,75.74,4,302.96,26.1415,318.108,Cash,5,15.148,7.6
3/13/2019,877-22-3308,Alex,Yangon,Member,Female,Health and beauty,15.87,10,158.7,26.1415,166.635,Cash,5,7.935,5.8
2/10/2019,838-78-4295,Giza,Naypyitaw,Member,Female,Health and beauty,33.47,2,66.94,26.1415,70.287,Ewallet,5,3.347,6.7
1/7/2019,109-28-2512,Cairo,Mandalay,Member,Female,Fashion accessories,97.61,6,585.66,26.1415,614.943,Ewallet,5,29.283,9.9
1/24/2019,232-11-3025,Alex,Yangon,Member,Female,Sports and travel,78.77,10,787.7,26.1415,827.085,Cash,5,39.385,6.4
2/2/2019,382-03-4532,Alex,Yangon,Member,Female,Health and beauty,18.33,1,18.33,26.1415,19.2465,Cash,5,0.9165,4.3
1/6/2019,393-65-2792,Giza,Naypyitaw,Member,Female,Food and beverages,89.48,10,894.8,26.1415,939.54,Credit card,5,44.74,9.6
2/11/2019,796-12-2025,Giza,Naypyitaw,Member,Female,Fashion accessories,62.12,10,621.2,26.1415,652.26,Cash,5,31.06,5.9
3/5/2019,510-95-6347,Cairo,Mandalay,Member,Female,Food and beverages,48.52,3,145.56,26.1415,152.838,Ewallet,5,7.278,4
3/9/2019,841-35-6630,Giza,Naypyitaw,Member,Female,Electronic accessories,75.91,6,455.46,26.1415,478.233,Cash,5,22.773,8.7
1/22/2019,287-21-9091,Alex,Yangon,Member,Female,Home and lifestyle,74.67,9,672.03,26.1415,705.6315,Ewallet,5,33.6015,9.4
1/13/2019,732-94-0499,Giza,Naypyitaw,Member,Female,Electronic accessories,41.65,10,416.5,26.1415,437.325,Credit card,5,20.825,5.4
1/9/2019,263-10-3913,Giza,Naypyitaw,Member,Female,Fashion accessories,49.04,9,441.36,26.1415,463.428,Credit card,5,22.068,8.6
1/12/2019,381-20-0914,Alex,Yangon,Member,Female,Fashion accessories,20.01,9,180.09,26.1415,189.0945,Credit card,5,9.0045,5.7
3/5/2019,829-49-1914,Giza,Naypyitaw,Member,Female,Food and beverages,78.31,10,783.1,26.1415,822.255,Ewallet,5,39.155,6.6
1/22/2019,756-01-7507,Giza,Naypyitaw,Member,Female,Health and beauty,20.38,5,101.9,26.1415,106.995,Cash,5,5.095,6
1/21/2019,870-72-4431,Giza,Naypyitaw,Member,Female,Health and beauty,99.19,6,595.14,26.1415,624.897,Credit card,5,29.757,5.5
1/26/2019,847-38-7188,Cairo,Mandalay,Member,Female,Food and beverages,96.68,3,290.04,26.1415,304.542,Ewallet,5,14.502,6.4
1/23/2019,480-63-2856,Giza,Naypyitaw,Member,Female,Food and beverages,19.25,8,154,26.1415,161.7,Ewallet,5,7.7,6.6
2/23/2019,787-56-0757,Giza,Naypyitaw,Member,Female,Food and beverages,80.36,4,321.44,26.1415,337.512,Credit card,5,16.072,8.3
3/9/2019,360-39-5055,Giza,Naypyitaw,Member,Female,Sports and travel,48.91,5,244.55,26.1415,256.7775,Cash,5,12.2275,6.6
3/5/2019,730-50-9884,Giza,Naypyitaw,Member,Female,Sports and travel,83.06,7,581.42,26.1415,610.491,Ewallet,5,29.071,4
3/25/2019,362-58-8315,Giza,Naypyitaw,Member,Female,Fashion accessories,76.52,5,382.6,26.1415,401.73,Cash,5,19.13,9.9
3/27/2019,633-44-8566,Alex,Yangon,Member,Female,Food and beverages,49.38,7,345.66,26.1415,362.943,Credit card,5,17.283,7.3
1/2/2019,504-35-8843,Alex,Yangon,Member,Female,Sports and travel,42.47,1,42.47,26.1415,44.5935,Cash,5,2.1235,5.7
2/27/2019,318-68-5053,Cairo,Mandalay,Member,Female,Health and beauty,76.99,6,461.94,26.1415,485.037,Cash,5,23.097,6.1
1/23/2019,565-80-5980,Giza,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,189.52,26.1415,198.996,Cash,5,9.476,7.1
1/26/2019,225-32-0908,Giza,Naypyitaw,Member,Female,Sports and travel,44.86,10,448.6,26.1415,471.03,Ewallet,5,22.43,8.2
1/10/2019,873-51-0671,Alex,Yangon,Member,Female,Sports and travel,21.98,7,153.86,26.1415,161.553,Ewallet,5,7.693,5.1
3/12/2019,152-08-9985,Cairo,Mandalay,Member,Female,Health and beauty,64.36,9,579.24,26.1415,608.202,Credit card,5,28.962,8.6
2/6/2019,512-91-0811,Giza,Naypyitaw,Member,Female,Health and beauty,89.75,1,89.75,26.1415,94.2375,Credit card,5,4.4875,6.6
3/8/2019,594-34-4444,Alex,Yangon,Member,Female,Electronic accessories,97.16,1,97.16,26.1415,102.018,Ewallet,5,4.858,7.2
3/29/2019,766-85-7061,Cairo,Mandalay,Member,Female,Health and beauty,87.87,10,878.7,26.1415,922.635,Ewallet,5,43.935,5.1
2/9/2019,871-39-9221,Giza,Naypyitaw,Member,Female,Electronic accessories,12.45,6,74.7,26.1415,78.435,Cash,5,3.735,4.1
3/23/2019,865-92-6136,Alex,Yangon,Member,Female,Food and beverages,52.75,3,158.25,26.1415,166.1625,Ewallet,5,7.9125,9.3
3/5/2019,733-01-9107,Cairo,Mandalay,Member,Female,Home and lifestyle,82.7,6,496.2,26.1415,521.01,Cash,5,24.81,7.4
3/26/2019,163-56-7055,Giza,Naypyitaw,Member,Female,Fashion accessories,48.71,1,48.71,26.1415,51.1455,Cash,5,2.4355,4.1
3/1/2019,189-98-2939,Giza,Naypyitaw,Member,Female,Fashion accessories,78.55,9,706.95,26.1415,742.2975,Cash,5,35.3475,7.2
2/1/2019,551-21-3069,Giza,Naypyitaw,Member,Female,Electronic accessories,23.07,9,207.63,26.1415,218.0115,Cash,5,10.3815,4.9
3/28/2019,212-62-1842,Alex,Yangon,Member,Female,Food and beverages,58.26,6,349.56,26.1415,367.038,Cash,5,17.478,9.9
3/19/2019,716-39-1409,Cairo,Mandalay,Member,Female,Health and beauty,30.35,7,212.45,26.1415,223.0725,Cash,5,10.6225,8
1/12/2019,704-48-3927,Alex,Yangon,Member,Female,Electronic accessories,88.67,10,886.7,26.1415,931.035,Ewallet,5,44.335,7.3
1/5/2019,628-34-3388,Giza,Naypyitaw,Member,Female,Fashion accessories,27.38,6,164.28,26.1415,172.494,Credit card,5,8.214,7.9
3/22/2019,630-74-5166,Alex,Yangon,Member,Female,Sports and travel,62.13,6,372.78,26.1415,391.419,Cash,5,18.639,7.4
3/24/2019,588-01-7461,Giza,Naypyitaw,Member,Female,Food and beverages,33.98,9,305.82,26.1415,321.111,Cash,5,15.291,4.2
3/3/2019,861-77-0145,Giza,Naypyitaw,Member,Female,Electronic accessories,81.97,10,819.7,26.1415,860.685,Cash,5,40.985,9.2
2/5/2019,479-26-8945,Cairo,Mandalay,Member,Female,Sports and travel,16.49,2,32.98,26.1415,34.629,Ewallet,5,1.649,4.6
2/5/2019,210-67-5886,Giza,Naypyitaw,Member,Female,Health and beauty,98.21,3,294.63,26.1415,309.3615,Credit card,5,14.7315,7.8
2/15/2019,227-78-1148,Cairo,Mandalay,Member,Female,Fashion accessories,72.84,7,509.88,26.1415,535.374,Cash,5,25.494,8.4
1/19/2019,645-44-1170,Alex,Yangon,Member,Female,Home and lifestyle,58.07,9,522.63,26.1415,548.7615,Ewallet,5,26.1315,4.3
2/1/2019,237-01-6122,Giza,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,727.11,26.1415,763.4655,Credit card,5,36.3555,9.5
3/2/2019,225-98-1496,Giza,Naypyitaw,Member,Female,Fashion accessories,27.02,3,81.06,26.1415,85.113,Credit card,5,4.053,7.1
3/5/2019,291-32-1427,Cairo,Mandalay,Member,Female,Fashion accessories,21.94,5,109.7,26.1415,115.185,Ewallet,5,5.485,5.3
1/16/2019,659-65-8956,Cairo,Mandalay,Member,Female,Fashion accessories,51.36,1,51.36,26.1415,53.928,Ewallet,5,2.568,5.2
2/2/2019,642-32-2990,Alex,Yangon,Member,Female,Food and beverages,10.96,10,109.6,26.1415,115.08,Ewallet,5,5.48,6
1/20/2019,378-24-2715,Cairo,Mandalay,Member,Female,Home and lifestyle,53.44,2,106.88,26.1415,112.224,Ewallet,5,5.344,4.1
2/14/2019,638-60-7125,Alex,Yangon,Member,Female,Electronic accessories,99.56,8,796.48,26.1415,836.304,Credit card,5,39.824,5.2
1/12/2019,659-36-1684,Giza,Naypyitaw,Member,Female,Sports and travel,57.12,7,399.84,26.1415,419.832,Credit card,5,19.992,6.5
3/9/2019,219-22-9386,Cairo,Mandalay,Member,Female,Sports and travel,99.96,9,899.64,26.1415,944.622,Credit card,5,44.982,4.2
3/13/2019,336-78-2147,Giza,Naypyitaw,Member,Female,Home and lifestyle,63.91,8,511.28,26.1415,536.844,Credit card,5,25.564,4.6
3/9/2019,268-27-6179,Cairo,Mandalay,Member,Female,Fashion accessories,56.47,8,451.76,26.1415,474.348,Ewallet,5,22.588,7.3
3/10/2019,668-90-8900,Alex,Yangon,Member,Female,Home and lifestyle,93.69,7,655.83,26.1415,688.6215,Credit card,5,32.7915,4.5
1/27/2019,870-54-3162,Alex,Yangon,Member,Female,Sports and travel,32.25,5,161.25,26.1415,169.3125,Cash,5,8.0625,9
1/8/2019,189-08-9157,Giza,Naypyitaw,Member,Female,Fashion accessories,31.73,9,285.57,26.1415,299.8485,Credit card,5,14.2785,5.9
1/8/2019,663-86-9076,Giza,Naypyitaw,Member,Female,Food and beverages,68.54,8,548.32,26.1415,575.736,Ewallet,5,27.416,8.5
2/8/2019,549-84-7482,Cairo,Mandalay,Member,Female,Sports and travel,90.28,9,812.52,26.1415,853.146,Ewallet,5,40.626,7.2
1/25/2019,191-10-6171,Cairo,Mandalay,Normal,Female,Fashion accessories,39.62,7,277.34,26.1415,291.207,Cash,5,13.867,7.5
3/6/2019,802-70-5316,Alex,Yangon,Member,Female,Sports and travel,92.13,6,552.78,26.1415,580.419,Cash,5,27.639,8.3
2/10/2019,695-51-0018,Cairo,Mandalay,Normal,Female,Sports and travel,34.84,4,139.36,26.1415,146.328,Cash,5,6.968,7.4
2/17/2019,590-83-4591,Cairo,Mandalay,Member,Female,Electronic accessories,87.45,6,524.7,26.1415,550.935,Credit card,5,26.235,8.8
3/8/2019,483-71-1164,Giza,Naypyitaw,Normal,Female,Health and beauty,81.3,6,487.8,26.1415,512.19,Ewallet,5,24.39,5.3
2/18/2019,597-78-7908,Giza,Naypyitaw,Normal,Female,Fashion accessories,90.22,3,270.66,26.1415,284.193,Cash,5,13.533,6.2
1/18/2019,700-81-1757,Alex,Yangon,Normal,Female,Electronic accessories,26.31,5,131.55,26.1415,138.1275,Credit card,5,6.5775,8.8
2/18/2019,354-39-5160,Alex,Yangon,Member,Female,Home and lifestyle,34.42,6,206.52,26.1415,216.846,Cash,5,10.326,9.8
2/16/2019,241-72-9525,Cairo,Mandalay,Normal,Female,Sports and travel,51.91,10,519.1,26.1415,545.055,Cash,5,25.955,8.2
3/16/2019,575-30-8091,Alex,Yangon,Normal,Female,Sports and travel,72.5,8,580,26.1415,609,Ewallet,5,29,9.2
1/23/2019,731-81-9469,Giza,Naypyitaw,Member,Female,Sports and travel,89.8,10,898,26.1415,942.9,Credit card,5,44.9,5.4
1/25/2019,280-17-4359,Giza,Naypyitaw,Member,Male,Health and beauty,90.5,10,905,26.1415,950.25,Cash,5,45.25,8.1
2/5/2019,338-65-2210,Giza,Naypyitaw,Member,Female,Health and beauty,68.6,10,686,26.1415,720.3,Cash,5,34.3,9.1
2/22/2019,488-25-4221,Giza,Naypyitaw,Member,Female,Food and beverages,30.41,1,30.41,26.1415,31.9305,Credit card,5,1.5205,8.4
1/21/2019,239-10-7476,Alex,Yangon,Normal,Female,Home and lifestyle,77.95,6,467.7,26.1415,491.085,Ewallet,5,23.385,8
3/8/2019,458-41-1477,Giza,Naypyitaw,Normal,Female,Health and beauty,46.26,6,277.56,26.1415,291.438,Credit card,5,13.878,9.5
2/10/2019,685-64-1609,Alex,Yangon,Member,Female,Fashion accessories,30.14,10,301.4,26.1415,316.47,Ewallet,5,15.07,9.2
3/19/2019,568-90-5112,Giza,Naypyitaw,Normal,Male,Health and beauty,66.14,4,264.56,26.1415,277.788,Credit card,5,13.228,5.6
3/6/2019,262-47-2794,Cairo,Mandalay,Member,Male,Home and lifestyle,71.86,8,574.88,26.1415,603.624,Credit card,5,28.744,6.2
3/27/2019,238-49-0436,Alex,Yangon,Normal,Male,Health and beauty,32.46,8,259.68,26.1415,272.664,Credit card,5,12.984,4.9
3/23/2019,608-96-3517,Cairo,Mandalay,Member,Female,Fashion accessories,91.54,4,366.16,26.1415,384.468,Credit card,5,18.308,4.8
3/11/2019,584-86-7256,Giza,Naypyitaw,Member,Male,Sports and travel,34.56,7,241.92,26.1415,254.016,Credit card,5,12.096,7.3
1/29/2019,746-94-0204,Alex,Yangon,Normal,Male,Fashion accessories,83.24,9,749.16,26.1415,786.618,Credit card,5,37.458,7.4
2/7/2019,214-17-6927,Giza,Naypyitaw,Normal,Female,Food and beverages,16.48,6,98.88,26.1415,103.824,Ewallet,5,4.944,9.9
1/28/2019,400-89-4171,Giza,Naypyitaw,Normal,Female,Sports and travel,80.97,8,647.76,26.1415,680.148,Cash,5,32.388,9.3
2/20/2019,782-95-9291,Alex,Yangon,Member,Male,Food and beverages,92.29,5,461.45,26.1415,484.5225,Credit card,5,23.0725,9
1/4/2019,279-74-2924,Cairo,Mandalay,Member,Male,Electronic accessories,72.17,1,72.17,26.1415,75.7785,Cash,5,3.6085,6.1
3/7/2019,307-85-2293,Cairo,Mandalay,Normal,Male,Home and lifestyle,50.28,5,251.4,26.1415,263.97,Ewallet,5,12.57,9.7
3/30/2019,743-04-1105,Cairo,Mandalay,Member,Male,Health and beauty,97.22,9,874.98,26.1415,918.729,Ewallet,5,43.749,6
3/27/2019,423-57-2993,Cairo,Mandalay,Normal,Male,Sports and travel,93.39,6,560.34,26.1415,588.357,Ewallet,5,28.017,10
1/19/2019,894-41-5205,Giza,Naypyitaw,Normal,Female,Food and beverages,43.18,8,345.44,26.1415,362.712,Credit card,5,17.272,8.3
2/25/2019,275-28-0149,Alex,Yangon,Normal,Male,Sports and travel,63.69,1,63.69,26.1415,66.8745,Cash,5,3.1845,6
3/13/2019,101-17-6199,Alex,Yangon,Normal,Male,Food and beverages,45.79,7,320.53,26.1415,336.5565,Credit card,5,16.0265,7
1/30/2019,423-80-0988,Giza,Naypyitaw,Normal,Male,Sports and travel,76.4,2,152.8,26.1415,160.44,Ewallet,5,7.64,6.5
2/20/2019,548-46-9322,Cairo,Mandalay,Normal,Male,Food and beverages,39.9,10,399,26.1415,418.95,Credit card,5,19.95,5.9
2/25/2019,505-02-0892,Cairo,Mandalay,Member,Male,Health and beauty,42.57,8,340.56,26.1415,357.588,Ewallet,5,17.028,5.6
1/16/2019,234-65-2137,Giza,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,955.8,26.1415,1003.59,Cash,5,47.79,4.8
2/8/2019,687-47-8271,Alex,Yangon,Normal,Male,Fashion accessories,98.98,10,989.8,26.1415,1039.29,Credit card,5,49.49,8.7
1/19/2019,796-32-9050,Alex,Yangon,Normal,Male,Food and beverages,51.28,6,307.68,26.1415,323.064,Cash,5,15.384,6.5
2/1/2019,105-31-1824,Alex,Yangon,Member,Male,Sports and travel,69.52,7,486.64,26.1415,510.972,Credit card,5,24.332,8.5
1/3/2019,249-42-3782,Alex,Yangon,Normal,Male,Health and beauty,70.01,5,350.05,26.1415,367.5525,Ewallet,5,17.5025,5.5
1/26/2019,316-55-4634,Cairo,Mandalay,Member,Male,Food and beverages,80.05,5,400.25,26.1415,420.2625,Credit card,5,20.0125,9.4
3/3/2019,733-33-4967,Giza,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,166.8,26.1415,175.14,Cash,5,8.34,6.3
1/19/2019,608-27-6295,Cairo,Mandalay,Member,Male,Electronic accessories,52.89,6,317.34,26.1415,333.207,Credit card,5,15.867,9.8
1/18/2019,414-12-7047,Cairo,Mandalay,Normal,Male,Food and beverages,19.79,8,158.32,26.1415,166.236,Ewallet,5,7.916,8.7
3/21/2019,827-26-2100,Alex,Yangon,Member,Male,Home and lifestyle,33.84,9,304.56,26.1415,319.788,Ewallet,5,15.228,8.8
3/3/2019,175-54-2529,Alex,Yangon,Member,Male,Food and beverages,22.17,8,177.36,26.1415,186.228,Credit card,5,8.868,9.6
2/13/2019,139-52-2867,Giza,Naypyitaw,Normal,Female,Fashion accessories,22.51,7,157.57,26.1415,165.4485,Credit card,5,7.8785,4.8
3/23/2019,407-63-8975,Alex,Yangon,Normal,Male,Food and beverages,73.88,6,443.28,26.1415,465.444,Ewallet,5,22.164,4.4
1/28/2019,342-65-4817,Giza,Naypyitaw,Member,Male,Health and beauty,86.8,3,260.4,26.1415,273.42,Ewallet,5,13.02,9.9
2/9/2019,130-98-8941,Giza,Naypyitaw,Normal,Male,Fashion accessories,64.26,7,449.82,26.1415,472.311,Cash,5,22.491,5.7
1/23/2019,434-83-9547,Giza,Naypyitaw,Member,Male,Food and beverages,38.47,8,307.76,26.1415,323.148,Cash,5,15.388,7.7
3/23/2019,851-28-6367,Alex,Yangon,Member,Male,Sports and travel,15.5,10,155,26.1415,162.75,Ewallet,5,7.75,8
1/25/2019,824-88-3614,Giza,Naypyitaw,Normal,Male,Health and beauty,34.31,8,274.48,26.1415,288.204,Ewallet,5,13.724,5.7
3/4/2019,586-25-0848,Alex,Yangon,Normal,Female,Sports and travel,12.34,7,86.38,26.1415,90.699,Credit card,5,4.319,6.7
3/5/2019,895-66-0685,Cairo,Mandalay,Member,Male,Food and beverages,18.08,3,54.24,26.1415,56.952,Ewallet,5,2.712,8
3/3/2019,305-14-0245,Cairo,Mandalay,Member,Female,Home and lifestyle,94.49,8,755.92,26.1415,793.716,Ewallet,5,37.796,7.5
2/8/2019,732-04-5373,Cairo,Mandalay,Member,Male,Home and lifestyle,46.47,4,185.88,26.1415,195.174,Cash,5,9.294,7
2/10/2019,400-60-7251,Alex,Yangon,Normal,Male,Home and lifestyle,74.07,1,74.07,26.1415,77.7735,Ewallet,5,3.7035,9.9
1/28/2019,593-65-1552,Giza,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,279.24,26.1415,293.202,Credit card,5,13.962,5.9
